#K-Path(1/A)   Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 950  40
# Band-Index:    1
   2.91115    -45.995638    -45.995623
   2.92070    -45.995633    -45.995618
   2.93025    -45.995629    -45.995613
   2.93980    -45.995625    -45.995610
   2.94934    -45.995622    -45.995607
   2.95889    -45.995620    -45.995605
   2.96844    -45.995619    -45.995603
   2.97798    -45.995618    -45.995603
   2.98753    -45.995618    -45.995602
   2.98753    -45.995618    -45.995602
   3.00684    -45.995619    -45.995604
   3.02614    -45.995623    -45.995608
   3.04545    -45.995633    -45.995617
   3.06475    -45.995646    -45.995631
   3.08406    -45.995664    -45.995649
   3.10337    -45.995688    -45.995673
   3.12267    -45.995718    -45.995702
   3.14198    -45.995751    -45.995735
   3.16128    -45.995787    -45.995772
   3.18059    -45.995829    -45.995813
   3.19989    -45.995875    -45.995860
   3.21920    -45.995926    -45.995911
   3.23851    -45.995982    -45.995966
   3.25781    -45.996043    -45.996027
   3.27712    -45.996108    -45.996093
   3.29642    -45.996177    -45.996162
   3.31573    -45.996251    -45.996236
   3.33503    -45.996329    -45.996314
   3.35434    -45.996411    -45.996396
   3.37365    -45.996496    -45.996481
   3.39295    -45.996585    -45.996570
   3.41226    -45.996675    -45.996660
   3.43156    -45.996767    -45.996752
   3.45087    -45.996861    -45.996845
   3.47017    -45.996956    -45.996941
   3.48948    -45.997052    -45.997037
   3.50879    -45.997149    -45.997134
   3.52809    -45.997247    -45.997232
   3.54740    -45.997344    -45.997329
   3.56670    -45.997441    -45.997425
   3.58601    -45.997535    -45.997520
   3.60531    -45.997628    -45.997613
   3.62462    -45.997718    -45.997703
   3.64393    -45.997805    -45.997790
   3.66323    -45.997888    -45.997873
   3.68254    -45.997968    -45.997953
   3.70184    -45.998045    -45.998029
   3.72115    -45.998117    -45.998101
   3.74045    -45.998184    -45.998169
   3.75976    -45.998247    -45.998231
   3.77907    -45.998303    -45.998288
   3.79837    -45.998354    -45.998339
   3.81768    -45.998398    -45.998383
   3.83698    -45.998435    -45.998420
   3.85629    -45.998466    -45.998451
   3.87559    -45.998491    -45.998476
   3.89490    -45.998509    -45.998494
   3.91421    -45.998519    -45.998504
   3.93351    -45.998524    -45.998509
   3.93351    -45.998524    -45.998509
   3.94589    -45.998522    -45.998507
   3.95827    -45.998518    -45.998503
   3.97065    -45.998512    -45.998496
   3.98303    -45.998503    -45.998487
   3.99541    -45.998491    -45.998476
   4.00779    -45.998477    -45.998462
   4.02017    -45.998460    -45.998445
   4.03255    -45.998442    -45.998427
   4.04493    -45.998421    -45.998406
   4.05731    -45.998398    -45.998383
   4.06969    -45.998372    -45.998357
   4.08207    -45.998344    -45.998329
   4.09445    -45.998313    -45.998298
   4.10683    -45.998280    -45.998265
   4.11921    -45.998246    -45.998230
   4.13159    -45.998209    -45.998194
   4.14397    -45.998170    -45.998155
   4.15635    -45.998130    -45.998114
